Sentence,Year
m francis germanier ancien vigneron à vétroz avec voix le parti populaire conservateur du haut valais obtient suffrages est élu m,1963
ancien administrateur postal à sierre avec voix la liste du parti conservateur tien social du valais romand a obtenu suffrages sont,1963
paul de courten ancien devient premier suppléant avec enfin le parti populaire chrétiensocial du haut valais a obtenu suffrages est élu,1963
voix et hans fuchs conservateur avec voix obwald f le parti conservateur chrétien social garde le siège du demi canton d,1963
travail ou libéraux ou socialistes ou alliance des indépendants ou parti populaire catholique du bale campagne dans le canton de bâle,1963
pour la première fois aux élections ou chrétiens sociaux ou parti conservateur populaire ou voici la répartition des sièges caux perte,1963
d appenzell au conseil national reste attribué sans opposition au parti conservateur m albert broger sortant a été réélu par voix,1963
la suivante liste paysanne radicaux démocratiques socialistes et syndicats ouvriers parti populaire catholique et chrétiens sociaux la participation au scrutin n,1963
nidwald au conseil national est resté attribué ans lutte aii parti conservateur chrétien social m josef odérmatt avocat à buochs sortant,1963
pas de changement et se présente comme suit radicaux socialistes parti populaire conservateur chrétiensocial et alliance des indépendants voici les noms,1963
hummler parti socialiste et syndicats mm matthias eggenberger floriàn vetsch parti populaire conservateur chrétien sor cial mm andréas zeller kurt furgler,1963
qui paraît trois fois par semaine dès il préside le parti conservateur populaire du canton de lucerne et depuis il occupe,1963
de lucerne et depuis il occupe la vice présidence du parti conservateur chrétien social suisse il a fait partie du grand,1963
est rédacteur du willisauer bote il a été président du parti conservateur populaire du canton de lucerne de à et il,1964
de lucerne de à et il est depuis viceprésident du parti conservateur tien social suisse il a fait partie du grand,1964
